时间,影长
9,7.739285385
9.01,7.703179878
9.02,7.667426661
9.03,7.63202085
9.04,7.596957649
9.05,7.56223236
9.06,7.527840368
9.07,7.49377715
9.08,7.460038264
9.09,7.426619354
9.1,7.393516144
9.11,7.360724438
9.12,7.328240116
9.13,7.296059135
9.14,7.264177526
9.15,7.232591393
9.16,7.201296908
9.17,7.170290317
9.18,7.139567928
9.19,7.10912612
9.2,7.078961334
9.21,7.049070075
9.22,7.019448911
9.23,6.990094468
9.24,6.961003434
9.25,6.932172553
9.26,6.903598628
9.27,6.875278516
9.28,6.847209127
9.29,6.819387428
9.3,6.791810435
9.31,6.764475216
9.32,6.737378889
9.33,6.710518621
9.34,6.683891628
9.35,6.65749517
9.36,6.631326555
9.37,6.605383137
9.38,6.579662313
9.39,6.554161522
9.4,6.528878247
9.41,6.503810012
9.42,6.478954383
9.43,6.454308963
9.44,6.429871397
9.45,6.405639366
9.46,6.38161059
9.47,6.357782826
9.48,6.334153865
9.49,6.310721537
9.5,6.287483704
9.51,6.264438263
9.52,6.241583143
9.53,6.218916308
9.54,6.196435753
9.55,6.174139504
9.56,6.15202562
9.57,6.130092187
9.58,6.108337325
9.59,6.086759179
9.6,6.065355925
9.61,6.044125768
9.62,6.023066938
9.63,6.002177695
9.64,5.981456324
9.65,5.960901136
9.66,5.940510468
9.67,5.920282682
9.68,5.900216166
9.69,5.880309331
9.7,5.860560612
9.71,5.840968469
9.72,5.821531382
9.73,5.802247857
9.74,5.783116419
9.75,5.764135618
9.76,5.745304024
9.77,5.726620227
9.78,5.70808284
9.79,5.689690494
9.8,5.671441842
9.81,5.653335555
9.82,5.635370326
9.83,5.617544863
9.84,5.599857897
9.85,5.582308173
9.86,5.564894459
9.87,5.547615536
9.88,5.530470205
9.89,5.513457285
9.9,5.496575609
9.91,5.479824029
9.92,5.463201412
9.93,5.446706643
9.94,5.43033862
9.95,5.414096258
9.96,5.397978488
9.97,5.381984255
9.98,5.36611252
9.99,5.350362256
10,5.334732453
10.01,5.319222114
10.02,5.303830256
10.03,5.288555909
10.04,5.273398118
10.05,5.258355941
10.06,5.243428446
10.07,5.228614718
10.08,5.213913852
10.09,5.199324956
10.1,5.184847152
10.11,5.17047957
10.12,5.156221357
10.13,5.142071666
10.14,5.128029667
10.15,5.114094538
10.16,5.100265469
10.17,5.086541661
10.18,5.072922325
10.19,5.059406684
10.2,5.045993971
10.21,5.032683429
10.22,5.019474312
10.23,5.006365883
10.24,4.993357415
10.25,4.980448191
10.26,4.967637505
10.27,4.954924658
10.28,4.942308962
10.29,4.929789737
10.3,4.917366313
10.31,4.905038029
10.32,4.892804231
10.33,4.880664277
10.34,4.868617531
10.35,4.856663365
10.36,4.844801162
10.37,4.833030309
10.38,4.821350206
10.39,4.809760258
10.4,4.798259878
10.41,4.786848486
10.42,4.775525512
10.43,4.764290393
10.44,4.753142571
10.45,4.742081497
10.46,4.731106631
10.47,4.720217436
10.48,4.709413386
10.49,4.698693959
10.5,4.688058642
10.51,4.677506927
10.52,4.667038314
10.53,4.656652308
10.54,4.646348423
10.55,4.636126177
10.56,4.625985095
10.57,4.615924708
10.58,4.605944554
10.59,4.596044176
10.6,4.586223124
10.61,4.576480952
10.62,4.566817223
10.63,4.557231503
10.64,4.547723365
10.65,4.538292386
10.66,4.528938151
10.67,4.519660247
10.68,4.510458271
10.69,4.501331821
10.7,4.492280503
10.71,4.483303927
10.72,4.474401707
10.73,4.465573465
10.74,4.456818825
10.75,4.448137418
10.76,4.439528879
10.77,4.430992848
10.78,4.422528968
10.79,4.41413689
10.8,4.405816267
10.81,4.397566758
10.82,4.389388025
10.83,4.381279737
10.84,4.373241564
10.85,4.365273182
10.86,4.357374273
10.87,4.34954452
10.88,4.341783613
10.89,4.334091244
10.9,4.32646711
10.91,4.318910913
10.92,4.311422357
10.93,4.304001152
10.94,4.296647009
10.95,4.289359647
10.96,4.282138784
10.97,4.274984146
10.98,4.267895461
10.99,4.26087246
11,4.253914878
11.01,4.247022454
11.02,4.240194931
11.03,4.233432054
11.04,4.226733572
11.05,4.220099239
11.06,4.213528811
11.07,4.207022046
11.08,4.200578709
11.09,4.194198564
11.1,4.187881381
11.11,4.181626933
11.12,4.175434995
11.13,4.169305346
11.14,4.163237768
11.15,4.157232045
11.16,4.151287966
11.17,4.145405322
11.18,4.139583906
11.19,4.133823515
11.2,4.128123949
11.21,4.122485011
11.22,4.116906505
11.23,4.11138824
11.24,4.105930028
11.25,4.100531681
11.26,4.095193016
11.27,4.089913852
11.28,4.084694012
11.29,4.079533318
11.3,4.074431599
11.31,4.069388684
11.32,4.064404406
11.33,4.059478597
11.34,4.054611097
11.35,4.049801744
11.36,4.045050381
11.37,4.040356852
11.38,4.035721003
11.39,4.031142685
11.4,4.026621749
11.41,4.022158049
11.42,4.01775144
11.43,4.013401783
11.44,4.009108936
11.45,4.004872765
11.46,4.000693133
11.47,3.996569908
11.48,3.99250296
11.49,3.988492161
11.5,3.984537385
11.51,3.980638508
11.52,3.976795408
11.53,3.973007965
11.54,3.969276061
11.55,3.965599582
11.56,3.961978413
11.57,3.958412444
11.58,3.954901563
11.59,3.951445664
11.6,3.948044642
11.61,3.944698392
11.62,3.941406812
11.63,3.938169804
11.64,3.934987268
11.65,3.93185911
11.66,3.928785234
11.67,3.925765548
11.68,3.922799963
11.69,3.919888388
11.7,3.917030738
11.71,3.914226927
11.72,3.911476872
11.73,3.908780492
11.74,3.906137707
11.75,3.903548438
11.76,3.90101261
11.77,3.898530148
11.78,3.896100979
11.79,3.893725032
11.8,3.891402238
11.81,3.889132528
11.82,3.886915838
11.83,3.884752102
11.84,3.882641258
11.85,3.880583244
11.86,3.878578001
11.87,3.876625471
11.88,3.874725599
11.89,3.872878328
11.9,3.871083607
11.91,3.869341383
11.92,3.867651606
11.93,3.86601423
11.94,3.864429206
11.95,3.862896489
11.96,3.861416036
11.97,3.859987804
11.98,3.858611753
11.99,3.857287845
12,3.85601604
12.01,3.854796304
12.02,3.853628602
12.03,3.8525129
12.04,3.851449167
12.05,3.850437374
12.06,3.849477492
12.07,3.848569493
12.08,3.847713352
12.09,3.846909045
12.1,3.846156549
12.11,3.845455844
12.12,3.844806909
12.13,3.844209727
12.14,3.84366428
12.15,3.843170553
12.16,3.842728533
12.17,3.842338207
12.18,3.841999563
12.19,3.841712594
12.2,3.84147729
12.21,3.841293645
12.22,3.841161654
12.23,3.841081313
12.24,3.841052621
12.25,3.841075575
12.26,3.841150177
12.27,3.841276429
12.28,3.841454334
12.29,3.841683898
12.3,3.841965126
12.31,3.842298027
12.32,3.842682611
12.33,3.843118887
12.34,3.843606867
12.35,3.844146567
12.36,3.844738
12.37,3.845381184
12.38,3.846076136
12.39,3.846822876
12.4,3.847621425
12.41,3.848471806
12.42,3.849374041
12.43,3.850328158
12.44,3.851334182
12.45,3.852392142
12.46,3.853502067
12.47,3.85466399
12.48,3.855877943
12.49,3.857143961
12.5,3.858462078
12.51,3.859832333
12.52,3.861254765
12.53,3.862729414
12.54,3.864256321
12.55,3.865835532
12.56,3.867467089
12.57,3.869151041
12.58,3.870887435
12.59,3.872676321
12.6,3.87451775
12.61,3.876411775
12.62,3.878358451
12.63,3.880357834
12.64,3.882409982
12.65,3.884514953
12.66,3.886672809
12.67,3.888883613
12.68,3.891147428
12.69,3.89346432
12.7,3.895834358
12.71,3.89825761
12.72,3.900734147
12.73,3.903264042
12.74,3.905847369
12.75,3.908484204
12.76,3.911174626
12.77,3.913918713
12.78,3.916716546
12.79,3.91956821
12.8,3.922473789
12.81,3.925433369
12.82,3.928447039
12.83,3.931514889
12.84,3.934637012
12.85,3.937813501
12.86,3.941044452
12.87,3.944329963
12.88,3.947670134
12.89,3.951065065
12.9,3.954514861
12.91,3.958019627
12.92,3.961579471
12.93,3.965194501
12.94,3.968864829
12.95,3.972590568
12.96,3.976371834
12.97,3.980208745
12.98,3.984101419
12.99,3.988049978
13,3.992054546
13.01,3.996115248
13.02,4.000232214
13.03,4.004405572
13.04,4.008635455
13.05,4.012921997
13.06,4.017265335
13.07,4.021665609
13.08,4.026122959
13.09,4.030637528
13.1,4.035209463
13.11,4.039838912
13.12,4.044526025
13.13,4.049270954
13.14,4.054073856
13.15,4.058934888
13.16,4.063854209
13.17,4.068831983
13.18,4.073868375
13.19,4.078963552
13.2,4.084117684
13.21,4.089330944
13.22,4.094603507
13.23,4.099935552
13.24,4.105327259
13.25,4.11077881
13.26,4.116290393
13.27,4.121862196
13.28,4.12749441
13.29,4.13318723
13.3,4.138940853
13.31,4.144755478
13.32,4.150631309
13.33,4.156568552
13.34,4.162567415
13.35,4.16862811
13.36,4.174750851
13.37,4.180935857
13.38,4.187183349
13.39,4.19349355
13.4,4.199866688
13.41,4.206302992
13.42,4.212802698
13.43,4.219366041
13.44,4.225993261
13.45,4.232684603
13.46,4.239440312
13.47,4.24626064
13.48,4.25314584
13.49,4.26009617
13.5,4.267111889
13.51,4.274193263
13.52,4.281340559
13.53,4.28855405
13.54,4.29583401
13.55,4.303180719
13.56,4.310594459
13.57,4.318075517
13.58,4.325624184
13.59,4.333240754
13.6,4.340925527
13.61,4.348678803
13.62,4.356500891
13.63,4.364392101
13.64,4.372352748
13.65,4.38038315
13.66,4.388483632
13.67,4.396654521
13.68,4.40489615
13.69,4.413208854
13.7,4.421592976
13.71,4.43004886
13.72,4.438576857
13.73,4.447177323
13.74,4.455850615
13.75,4.4645971
13.76,4.473417145
13.77,4.482311127
13.78,4.491279422
13.79,4.500322417
13.8,4.509440499
13.81,4.518634064
13.82,4.527903511
13.83,4.537249245
13.84,4.546671676
13.85,4.55617122
13.86,4.565748299
13.87,4.575403339
13.88,4.585136773
13.89,4.594949039
13.9,4.604840581
13.91,4.614811849
13.92,4.624863298
13.93,4.634995391
13.94,4.645208596
13.95,4.655503386
13.96,4.665880243
13.97,4.676339653
13.98,4.68688211
13.99,4.697508113
14,4.708218169
14.01,4.719012791
14.02,4.7298925
14.03,4.740857821
14.04,4.751909289
14.05,4.763047445
14.06,4.774272838
14.07,4.785586022
14.08,4.796987562
14.09,4.808478026
14.1,4.820057994
14.11,4.83172805
14.12,4.84348879
14.13,4.855340813
14.14,4.86728473
14.15,4.879321159
14.16,4.891450726
14.17,4.903674064
14.18,4.915991818
14.19,4.928404638
14.2,4.940913186
14.21,4.953518129
14.22,4.966220148
14.23,4.979019929
14.24,4.991918169
14.25,5.004915575
14.26,5.018012861
14.27,5.031210755
14.28,5.044509991
14.29,5.057911314
14.3,5.071415481
14.31,5.085023257
14.32,5.098735418
14.33,5.112552753
14.34,5.126476058
14.35,5.140506142
14.36,5.154643826
14.37,5.16888994
14.38,5.183245327
14.39,5.197710842
14.4,5.212287351
14.41,5.226975732
14.42,5.241776875
14.43,5.256691684
14.44,5.271721074
14.45,5.286865972
14.46,5.302127321
14.47,5.317506075
14.48,5.333003201
14.49,5.348619681
14.5,5.364356511
14.51,5.380214699
14.52,5.39619527
14.53,5.412299262
14.54,5.428527728
14.55,5.444881735
14.56,5.461362368
14.57,5.477970724
14.58,5.494707919
14.59,5.511575084
14.6,5.528573364
14.61,5.545703925
14.62,5.562967945
14.63,5.580366623
14.64,5.597901174
14.65,5.615572829
14.66,5.633382841
14.67,5.651332478
14.68,5.669423027
14.69,5.687655795
14.7,5.706032109
14.71,5.724553313
14.72,5.743220774
14.73,5.762035878
14.74,5.78100003
14.75,5.800114659
14.76,5.819381213
14.77,5.838801164
14.78,5.858376004
14.79,5.87810725
14.8,5.89799644
14.81,5.918045135
14.82,5.938254923
14.83,5.958627413
14.84,5.979164239
14.85,5.999867063
14.86,6.020737569
14.87,6.04177747
14.88,6.062988504
14.89,6.084372437
14.9,6.105931061
14.91,6.127666197
14.92,6.149579696
14.93,6.171673437
14.94,6.193949327
14.95,6.216409307
14.96,6.239055346
14.97,6.261889445
14.98,6.284913638
14.99,6.308129991
15,6.331540604
